Author,Closeness centrality
NLA Alvarez,0.0
J Spencer,0.020833333333333332
D Lilley,0.020833333333333332
E Lesueur,0.041666666666666664
H Knoche,0.041666666666666664
PRS Rao,0.041666666666666664
J Huang,0.041666666666666664
T Sibieude,0.041666666666666664
M Yunus,0.041666666666666664
T Mullaney,0.0625
E Stolterman,0.0625
H Pettersson,0.0625
T Nyholm,0.0625
P Chininthorn,0.0625
WD Tucker,0.0625
A Freudenthal,0.0625
M Glaser,0.0625
A Villafiorita,0.10416666666666667
A Zewge,0.10416666666666667
MG Sandy,0.10416666666666667
K Weldemariam,0.10416666666666667
PA Biedrzycki,0.10416666666666667
A Susi,0.10416666666666667
S Hailemariam,0.10416666666666667
S Opel,0.10416666666666667
DA Nelson,0.10416666666666667
M Belachew,0.10416666666666667
S Ahmed,0.10416666666666667
Z Franco,0.10416666666666667
J Yaaqoubi,0.12604166666666666
R Walton,0.12604166666666666
A Joshi,0.14583333333333334
J Zhang,0.14583333333333334
J Machiavelli,0.14583333333333334
R Vogler,0.14583333333333334
S Iyengar,0.14583333333333334
M de Araujo Novaes,0.14583333333333334
C Johnson,0.14583333333333334
CE Hsu,0.14583333333333334
K Saville,0.1482843137254902
L Schlenke,0.1800595238095238
R Anderson,0.1800595238095238
R Nathan,0.1800595238095238
J Keh,0.1800595238095238
M Kawooya,0.1939102564102564
W Brunette,0.1939102564102564
A Hope,0.1939102564102564
W Gerard,0.1939102564102564
B Kolko,0.22916666666666666
